day,Capital Available at the start of day,Customer Base at the start of day,m (million),p (probability),M (million),G,Customer Base at end of the day,total orders,Capital Available at end of the day
1,15000000.0,1020000.0,7.368421052631579,0.8167360401476099,0.5263157894736842,1.0019631520312358,1022002,216971,15123523.157894738
2,15123523.157894738,1022002.0,7.368421052631579,0.8167360401476099,0.5263157894736842,1.0019631520312358,1024008,217396,15272546.315789476
3,15272546.315789476,1024008.0,7.368421052631579,0.8167360401476099,0.5263157894736842,1.0019631520312358,1026018,217823,15447189.473684214
4,15447189.473684214,1026018.0,7.368421052631579,0.8167360401476099,0.5263157894736842,1.0019631520312358,1028032,218251,15647512.631578952
5,15647512.631578952,1028032.0,7.368421052631579,0.8167360401476099,0.5263157894736842,1.0019631520312358,1030050,218679,15873515.78947369
6,15873515.78947369,1030050.0,7.368421052631579,0.8167360401476099,0.5263157894736842,1.0019631520312358,1032072,219108,16125258.947368428
7,16125258.947368428,1032072.0,7.368421052631579,0.8167360401476099,0.5263157894736842,1.0019631520312358,1034098,219539,16402862.105263166
8,16402862.105263166,1034098.0,7.368421052631579,0.8167360401476099,0.5263157894736842,1.0019631520312358,1036128,219969,16706265.263157904
9,16706265.263157904,1036128.0,7.368421052631579,0.8167360401476099,0.5263157894736842,1.0019631520312358,1038162,220401,17035588.421052642
10,17035588.421052642,1038162.0,7.368421052631579,0.8167360401476099,0.5263157894736842,1.0019631520312358,1040200,220834,17390891.57894738
11,17390891.57894738,1040200.0,7.368421052631579,0.8167360401476099,0.5263157894736842,1.0019631520312358,1042242,221267,17772174.73684212
12,17772174.73684212,1042242.0,7.368421052631579,0.8167360401476099,0.5263157894736842,1.0019631520312358,1044288,221702,18179557.894736856
13,18179557.894736856,1044288.0,7.368421052631579,0.8167360401476099,0.5263157894736842,1.0019631520312358,1046338,222137,18613041.052631594
14,18613041.052631594,1046338.0,7.368421052631579,0.8167360401476099,0.5263157894736842,1.0019631520312358,1048392,222573,19072684.210526332
15,19072684.210526332,1048392.0,7.368421052631579,0.8167360401476099,0.5263157894736842,1.0019631520312358,1050450,223010,19558547.36842107
16,19558547.36842107,1050450.0,7.368421052631579,0.8167360401476099,0.5263157894736842,1.0019631520312358,1052512,223448,20070690.52631581
17,20070690.52631581,1052512.0,7.368421052631579,0.8167360401476099,0.5263157894736842,1.0019631520312358,1054578,223886,20609113.684210546
18,20609113.684210546,1054578.0,7.368421052631579,0.8167360401476099,0.5263157894736842,1.0019631520312358,1056648,224326,21173936.842105284
19,21173936.842105284,1056648.0,7.368421052631579,0.8167360401476099,0.5263157894736842,1.0019631520312358,1058722,224766,21765160.000000022
20,21765160.000000022,1058722.0,7.368421052631579,0.8167360401476099,0.5263157894736842,1.0019631520312358,1060800,225207,22382843.15789476
21,22382843.15789476,1060800.0,7.368421052631579,0.8167360401476099,0.5263157894736842,1.0019631520312358,1062882,225649,23027046.3157895
22,23027046.3157895,1062882.0,7.368421052631579,0.8167360401476099,0.5263157894736842,1.0019631520312358,1064968,226092,23697829.473684236
23,23697829.473684236,1064968.0,7.368421052631579,0.8167360401476099,0.5263157894736842,1.0019631520312358,1067058,226536,24395252.631578974
24,24395252.631578974,1067058.0,7.368421052631579,0.8167360401476099,0.5263157894736842,1.0019631520312358,1069152,226980,25119315.789473712
25,25119315.789473712,1069152.0,7.368421052631579,0.8167360401476099,0.5263157894736842,1.0019631520312358,1071250,227426,25870138.94736845
26,25870138.94736845,1071250.0,7.368421052631579,0.8167360401476099,0.5263157894736842,1.0019631520312358,1073353,227872,26647722.10526319
27,26647722.10526319,1073353.0,7.368421052631579,0.8167360401476099,0.5263157894736842,1.0019631520312358,1075460,228320,27452185.263157926
28,27452185.263157926,1075460.0,7.368421052631579,0.8167360401476099,0.5263157894736842,1.0019631520312358,1077571,228768,28283528.421052665
29,28283528.421052665,1077571.0,7.368421052631579,0.8167360401476099,0.5263157894736842,1.0019631520312358,1079686,229217,29141811.578947403
30,29141811.578947403,1079686.0,7.368421052631579,0.8167360401476099,0.5263157894736842,1.0019631520312358,1081805,229667,30027094.73684214
